timestamp,source_ip,dest_ip,protocol,source_port,dest_port,bytes,packets,duration
2025-02-15 21:11:53.885733,192.168.1.218,external2.com,ICMP,43662,51020,17100,10,1.1885273212226748
2025-02-15 21:11:54.885733,192.168.1.250,external2.com,TCP,4413,35059,97155,28,1.7738987568680538
2025-02-15 21:11:55.885733,192.168.1.190,external2.com,UDP,43662,26913,194925,28,1.2381904158779646
2025-02-15 21:11:56.885733,192.168.1.174,external2.com,TCP,4413,443,99770,85,1.0791149360308379
2025-02-15 21:11:57.885733,192.168.1.193,external2.com,TCP,35059,43657,46225,27,0.9088837055363664
2025-02-15 21:11:58.885733,192.168.1.168,external2.com,UDP,29044,3389,273010,100,1.3716947628283145
2025-02-15 21:11:59.885733,192.168.1.132,external2.com,UDP,53,26913,51735,64,1.142762880494007
2025-02-15 21:12:00.885733,192.168.1.136,external2.com,ICMP,26913,51020,56425,34,1.9608839143882228
2025-02-15 21:12:01.885733,192.168.1.239,external2.com,ICMP,43657,29044,36845,6,0.5783461119446017
2025-02-15 21:12:02.885733,192.168.1.103,external2.com,TCP,3389,4434,14550,88,1.3769898944787762
2025-02-15 21:12:03.885733,192.168.1.25,external2.com,TCP,4434,29044,61720,63,0.5633852579100272
2025-02-15 21:12:04.885733,192.168.1.114,external2.com,UDP,51020,29044,609325,40,0.8068401168606854
2025-02-15 21:12:05.885733,192.168.1.176,external2.com,UDP,43662,443,182565,52,0.8892924075297187
2025-02-15 21:12:06.885733,192.168.1.30,external2.com,UDP,443,29044,15735,73,0.10880124969595689
2025-02-15 21:12:07.885733,192.168.1.24,external2.com,UDP,53,5458,66940,97,1.499295146402759
2025-02-15 21:12:08.885733,192.168.1.211,external2.com,UDP,443,33348,40340,23,1.993532582374877
2025-02-15 21:12:09.885733,192.168.1.220,external2.com,ICMP,4413,4434,69155,42,0.6710769969349166
2025-02-15 21:12:10.885733,192.168.1.38,external2.com,UDP,5458,5458,19480,29,0.8751504374344313
2025-02-15 21:12:11.885733,192.168.1.161,external2.com,TCP,443,80,42680,28,1.4603708266331947
2025-02-15 21:12:12.885733,192.168.1.144,external2.com,UDP,26913,53,46625,10,1.1692665437086844
2025-02-15 21:12:13.885733,192.168.1.66,external2.com,ICMP,80,51020,36270,82,0.48757395592210306
2025-02-15 21:12:14.885733,192.168.1.128,external2.com,UDP,53,4413,50840,70,1.2994945429666702
2025-02-15 21:12:15.885733,192.168.1.59,external2.com,UDP,43657,5458,48780,6,1.430703987565893
2025-02-15 21:12:16.885733,192.168.1.6,external2.com,TCP,51020,3389,15270,51,1.6034165744781672
2025-02-15 21:12:17.885733,192.168.1.4,external2.com,UDP,3389,5458,27010,31,0.2121551157641871
2025-02-15 21:12:18.885733,192.168.1.84,external2.com,ICMP,43662,4434,86600,38,1.2190529875638336
2025-02-15 21:12:19.885733,192.168.1.170,external2.com,ICMP,35059,26913,45770,37,1.9959490679562666
2025-02-15 21:12:20.885733,192.168.1.9,external2.com,ICMP,51020,3389,71000,20,1.394215316215469
2025-02-15 21:12:21.885733,192.168.1.191,external2.com,UDP,29044,22,71455,28,0.3139523946648366
2025-02-15 21:12:22.885733,192.168.1.116,external2.com,UDP,80,53,39885,29,1.4924080534862976
2025-02-15 21:12:23.885733,192.168.1.70,external2.com,ICMP,43662,5458,107830,73,1.1364709329309606
2025-02-15 21:12:24.885733,192.168.1.188,external2.com,TCP,3389,43657,33875,98,1.4870464171606421
2025-02-15 21:12:25.885733,192.168.1.244,external2.com,ICMP,53,35059,26380,63,1.681487717542161
2025-02-15 21:12:26.885733,192.168.1.144,external2.com,ICMP,4413,35059,62975,8,1.162925756572311
2025-02-15 21:12:27.885733,192.168.1.233,external2.com,TCP,443,43657,45235,35,0.9174093983623921
2025-02-15 21:12:28.885733,192.168.1.43,external2.com,ICMP,3389,43657,11830,56,1.281749070159256
2025-02-15 21:12:29.885733,192.168.1.132,external2.com,UDP,33348,26913,76995,92,1.435803429470986
2025-02-15 21:12:30.885733,192.168.1.164,external2.com,TCP,4434,43657,33970,20,0.18182214464435625
2025-02-15 21:12:31.885733,192.168.1.195,external2.com,ICMP,51020,443,26165,81,0.7317141264127767
2025-02-15 21:12:32.885733,192.168.1.224,external2.com,UDP,5458,80,63665,54,0.9179143772702738
2025-02-15 21:12:33.885733,192.168.1.207,external2.com,ICMP,43657,43662,33370,20,1.4316185934502637
2025-02-15 21:12:34.885733,192.168.1.161,external2.com,TCP,35059,4413,28095,54,1.5909926636809253
2025-02-15 21:12:35.885733,192.168.1.168,external2.com,TCP,80,3389,7570,80,0.5632087951518507
2025-02-15 21:12:36.885733,192.168.1.86,external2.com,UDP,35059,51020,32325,66,1.5057816200967522
2025-02-15 21:12:37.885733,192.168.1.203,external2.com,UDP,29044,22,37270,71,1.4288022397080058
2025-02-15 21:12:38.885733,192.168.1.209,external2.com,UDP,51020,35059,29065,39,0.8822393249807609
2025-02-15 21:12:39.885733,192.168.1.228,external2.com,UDP,4434,80,13905,97,1.7662305376813772
2025-02-15 21:12:40.885733,192.168.1.243,external2.com,UDP,35059,29044,411680,40,0.10982618936007857
2025-02-15 21:12:41.885733,192.168.1.167,external2.com,UDP,3389,51020,159360,89,0.4579763937447878
2025-02-15 21:12:42.885733,192.168.1.147,external2.com,TCP,443,51020,10890,2,0.385206769197625
2025-02-15 21:12:43.885733,192.168.1.132,external2.com,UDP,80,43662,75295,96,0.40843077919296655
2025-02-15 21:12:44.885733,192.168.1.253,external2.com,ICMP,51020,80,18495,13,1.7625284446996605
2025-02-15 21:12:45.885733,192.168.1.59,external2.com,TCP,35059,35059,64775,83,0.21881037047036195
2025-02-15 21:12:46.885733,192.168.1.156,external2.com,ICMP,443,80,3415,68,1.7832709799643034
2025-02-15 21:12:47.885733,192.168.1.208,external2.com,TCP,4413,43662,63770,58,0.44598176865063954
2025-02-15 21:12:48.885733,192.168.1.184,external2.com,ICMP,26913,4434,77175,44,1.2268341309692772
2025-02-15 21:12:49.885733,192.168.1.168,external2.com,ICMP,4413,5458,14145,10,1.4346432293286404
2025-02-15 21:12:50.885733,192.168.1.38,external2.com,ICMP,29044,4413,112535,18,0.17723724025291665
2025-02-15 21:12:51.885733,192.168.1.56,external2.com,TCP,80,3389,11590,62,1.6663019077724666
2025-02-15 21:12:52.885733,192.168.1.61,external2.com,ICMP,53,4434,36510,64,0.625808093875098
2025-02-15 21:12:53.885733,192.168.1.185,external2.com,ICMP,22,443,22585,71,1.2187030651162183
2025-02-15 21:12:54.885733,192.168.1.75,external2.com,ICMP,4434,4434,18620,100,0.3286705517519666
2025-02-15 21:12:55.885733,192.168.1.38,external2.com,TCP,5458,35059,39835,43,0.4948512834991471
2025-02-15 21:12:56.885733,192.168.1.80,external2.com,UDP,53,4413,46215,87,0.1263163662153547
2025-02-15 21:12:57.885733,192.168.1.15,external2.com,TCP,53,80,43670,10,0.927916629221255
2025-02-15 21:12:58.885733,192.168.1.39,external2.com,UDP,3389,4413,277140,30,1.0682691103048576
2025-02-15 21:12:59.885733,192.168.1.244,external2.com,ICMP,35059,4413,100660,100,0.6557158488001896
2025-02-15 21:13:00.885733,192.168.1.114,external2.com,UDP,29044,26913,22655,32,1.488932658094752
2025-02-15 21:13:01.885733,192.168.1.66,external2.com,UDP,5458,43657,17980,100,1.0617955946942557
2025-02-15 21:13:02.885733,192.168.1.20,external2.com,TCP,43657,443,111965,55,0.7328077992846432
2025-02-15 21:13:03.885733,192.168.1.191,external2.com,ICMP,29044,5458,115045,51,1.7265647584830697
2025-02-15 21:13:04.885733,192.168.1.157,external2.com,ICMP,26913,35059,85155,36,1.6070176507519895
2025-02-15 21:13:05.885733,192.168.1.243,external2.com,TCP,26913,51020,111130,53,1.6906232536442274
2025-02-15 21:13:06.885733,192.168.1.178,external2.com,ICMP,5458,5458,137690,1,1.3848562876079478
2025-02-15 21:13:07.885733,192.168.1.198,external2.com,TCP,51020,33348,6500,1,1.8714000480002047
2025-02-15 21:13:08.885733,192.168.1.126,external2.com,TCP,443,43657,69085,30,1.4584679057729197
2025-02-15 21:13:09.885733,192.168.1.211,external2.com,ICMP,43657,33348,75185,92,0.9551837734749133
2025-02-15 21:13:10.885733,192.168.1.79,external2.com,TCP,5458,43662,40720,27,1.5600512887811238
2025-02-15 21:13:11.885733,192.168.1.189,external2.com,ICMP,4413,51020,120520,12,1.643048163532081
2025-02-15 21:13:12.885733,192.168.1.148,external2.com,ICMP,3389,26913,40240,17,1.4520788891430085
2025-02-15 21:13:13.885733,192.168.1.204,external2.com,ICMP,35059,5458,30545,40,0.717329643290505
2025-02-15 21:13:14.885733,192.168.1.64,external2.com,ICMP,43662,43657,26190,43,0.871210692080865
2025-02-15 21:13:15.885733,192.168.1.57,external2.com,TCP,43657,35059,20450,67,0.8052636060027725
2025-02-15 21:13:16.885733,192.168.1.175,external2.com,TCP,43662,3389,79955,75,1.6570218109689747
2025-02-15 21:13:17.885733,192.168.1.209,external2.com,UDP,3389,53,82655,15,0.739416683325618
2025-02-15 21:13:18.885733,192.168.1.177,external2.com,ICMP,29044,5458,49320,99,1.8579658900825577
2025-02-15 21:13:19.885733,192.168.1.223,external2.com,TCP,43662,4413,37075,46,1.5136716455820889
2025-02-15 21:13:20.885733,192.168.1.246,external2.com,UDP,443,4434,46725,47,1.5191985438113762
2025-02-15 21:13:21.885733,192.168.1.124,external2.com,ICMP,33348,80,13620,76,1.256423023811849
2025-02-15 21:13:22.885733,192.168.1.221,external2.com,TCP,35059,51020,122290,97,0.7458770317969541
2025-02-15 21:13:23.885733,192.168.1.161,external2.com,ICMP,26913,3389,41040,64,1.4093224526298107
2025-02-15 21:13:24.885733,192.168.1.116,external2.com,TCP,51020,22,40995,66,0.15595406122558222
2025-02-15 21:13:25.885733,192.168.1.164,external2.com,TCP,53,443,37475,34,0.6444855488405764
2025-02-15 21:13:26.885733,192.168.1.93,external2.com,TCP,29044,4434,85815,60,0.9046751532566619
2025-02-15 21:13:27.885733,192.168.1.245,external2.com,ICMP,4434,53,46580,65,0.23157332635543765
2025-02-15 21:13:28.885733,192.168.1.165,external2.com,TCP,26913,26913,30325,95,1.0755509795579468
2025-02-15 21:13:29.885733,192.168.1.63,external2.com,TCP,43662,33348,18765,72,1.5207983400362752
2025-02-15 21:13:30.885733,192.168.1.89,external2.com,UDP,4434,33348,25270,14,1.5364773036981003
2025-02-15 21:13:31.885733,192.168.1.13,external2.com,UDP,33348,5458,16900,96,0.7409842090737281
2025-02-15 21:13:32.885733,192.168.1.126,external2.com,TCP,80,3389,21670,10,0.7671102736854911
2025-02-15 21:13:33.885733,192.168.1.82,external2.com,ICMP,53,22,47245,55,0.4200268991138115
2025-02-15 21:13:34.885733,192.168.1.129,external2.com,TCP,43657,43657,2325,38,0.11529687882900468
2025-02-15 21:13:35.885733,192.168.1.153,external2.com,TCP,4413,4413,35645,82,1.518902856254586
2025-02-15 21:13:36.885733,192.168.1.156,external2.com,TCP,51020,35059,96490,80,1.984216505564352
2025-02-15 21:13:37.885733,192.168.1.16,external2.com,UDP,4434,43657,74490,71,0.9430548382137922
2025-02-15 21:13:38.885733,192.168.1.101,external2.com,UDP,43657,443,84295,61,1.7200634739310607
2025-02-15 21:13:39.885733,192.168.1.94,external2.com,TCP,43662,4434,79360,82,1.263721692447084
2025-02-15 21:13:40.885733,192.168.1.71,external2.com,UDP,51020,33348,11850,78,0.7319324974827995
2025-02-15 21:13:41.885733,192.168.1.34,external2.com,ICMP,3389,22,33550,90,0.42082467413652114
2025-02-15 21:13:42.885733,192.168.1.47,external2.com,UDP,43662,26913,25350,88,0.32969586765477876
2025-02-15 21:13:43.885733,192.168.1.170,external2.com,TCP,4413,3389,14725,20,0.49687806982400073
2025-02-15 21:13:44.885733,192.168.1.37,external2.com,UDP,33348,443,34815,72,1.2817522768233123
2025-02-15 21:13:45.885733,192.168.1.120,external2.com,ICMP,43662,443,37805,2,1.6089314255418068
2025-02-15 21:13:46.885733,192.168.1.226,external2.com,UDP,4434,4413,18015,75,1.7555100774843384
2025-02-15 21:13:47.885733,192.168.1.229,external2.com,UDP,43662,43662,20565,98,1.0631649729076178
2025-02-15 21:13:48.885733,192.168.1.11,external2.com,ICMP,35059,3389,74495,96,1.5914885003000443
2025-02-15 21:13:49.885733,192.168.1.123,external2.com,TCP,51020,29044,13705,64,1.9010933766866893
2025-02-15 21:13:50.885733,192.168.1.5,external2.com,UDP,22,26913,19050,22,0.4328291732250521
2025-02-15 21:13:51.885733,192.168.1.201,external2.com,UDP,4413,80,60750,62,0.4750229537496512
2025-02-15 21:13:52.885733,192.168.1.217,external2.com,TCP,443,35059,31930,75,1.1974022700438591
2025-02-15 21:13:53.885733,192.168.1.211,external2.com,ICMP,4434,3389,30185,58,0.5038506579593964
2025-02-15 21:13:54.885733,192.168.1.133,external2.com,TCP,5458,5458,262020,48,1.5729832314825096
2025-02-15 21:13:55.885733,192.168.1.214,external2.com,UDP,4413,26913,117095,5,0.3546758364893555
2025-02-15 21:13:56.885733,192.168.1.199,external2.com,UDP,26913,22,60670,59,1.4172899890789492
2025-02-15 21:13:57.885733,192.168.1.174,external2.com,TCP,80,29044,124290,67,1.1544057437062285
2025-02-15 21:13:58.885733,192.168.1.126,external2.com,ICMP,26913,26913,10725,21,0.40822102128747184
2025-02-15 21:13:59.885733,192.168.1.47,external2.com,UDP,3389,22,32175,79,1.0367359962861264
2025-02-15 21:14:00.885733,192.168.1.229,external2.com,UDP,80,43657,21905,79,1.2218370579237638
2025-02-15 21:14:01.885733,192.168.1.129,external2.com,ICMP,5458,5458,9260,49,0.2367270391376481
2025-02-15 21:14:02.885733,192.168.1.211,external2.com,UDP,80,5458,72875,74,1.199111367398059
2025-02-15 21:14:03.885733,192.168.1.145,external2.com,ICMP,4434,33348,318170,15,1.0761745862989784
2025-02-15 21:14:04.885733,192.168.1.249,external2.com,TCP,4413,80,131205,7,0.6062889260487577
2025-02-15 21:14:05.885733,192.168.1.15,external2.com,UDP,5458,3389,76780,34,0.8243157966608426
2025-02-15 21:14:06.885733,192.168.1.148,external2.com,TCP,35059,80,6045,57,1.8121568758328457
2025-02-15 21:14:07.885733,192.168.1.183,external2.com,TCP,3389,443,13730,54,0.500802928535216
2025-02-15 21:14:08.885733,192.168.1.174,external2.com,TCP,51020,80,74045,5,0.6629751139011877
2025-02-15 21:14:09.885733,192.168.1.207,external2.com,TCP,51020,80,123575,42,1.0974467131117824
2025-02-15 21:14:10.885733,192.168.1.32,external2.com,TCP,35059,43662,15755,93,0.7269983006111603
2025-02-15 21:14:11.885733,192.168.1.123,external2.com,ICMP,4413,33348,8645,58,0.22682491594569382
2025-02-15 21:14:12.885733,192.168.1.78,external2.com,UDP,80,29044,10735,93,0.21873463254457629
2025-02-15 21:14:13.885733,192.168.1.169,external2.com,UDP,53,4413,57390,28,1.596747789178174
