timestamp,source_ip,dest_ip,protocol,source_port,dest_port,bytes,packets,duration
2025-02-15 21:11:53.805242,192.168.1.91,10.0.0.6,UDP,47503,48043,275570,185,1.5326920451701678
2025-02-15 21:11:54.805242,192.168.1.82,10.0.0.6,ICMP,48043,31363,46230,50,1.2449520354214694
2025-02-15 21:11:55.805242,192.168.1.15,10.0.0.6,TCP,31363,3389,63550,160,0.9512553457117495
2025-02-15 21:11:56.805242,192.168.1.151,10.0.0.6,UDP,31524,54757,226750,185,1.9297678095452666
2025-02-15 21:11:57.805242,192.168.1.29,10.0.0.6,TCP,44418,48043,189080,460,1.6666362255002098
2025-02-15 21:11:58.805242,192.168.1.107,10.0.0.6,UDP,53,7626,20300,145,1.3478513428544294
2025-02-15 21:11:59.805242,192.168.1.27,10.0.0.6,UDP,59085,22,192520,205,1.7569600643847458
2025-02-15 21:12:00.805242,192.168.1.177,10.0.0.6,TCP,7626,22,175520,470,1.6149035336789617
2025-02-15 21:12:01.805242,192.168.1.173,10.0.0.6,TCP,47503,53,17570,265,1.4864788608626052
2025-02-15 21:12:02.805242,192.168.1.9,10.0.0.6,TCP,7626,54757,50530,415,0.37622812420275575
2025-02-15 21:12:03.805242,192.168.1.236,10.0.0.6,ICMP,7626,53,8310,255,0.13547358198318346
2025-02-15 21:12:04.805242,192.168.1.164,10.0.0.6,UDP,32290,44418,209410,380,1.2408078017939057
2025-02-15 21:12:05.805242,192.168.1.57,10.0.0.6,ICMP,31524,47503,149010,410,0.7924148555393661
2025-02-15 21:12:06.805242,192.168.1.108,10.0.0.6,UDP,31524,22,16590,250,0.9871017125263067
2025-02-15 21:12:07.805242,192.168.1.30,10.0.0.6,ICMP,443,80,119890,5,0.7258379202975637
2025-02-15 21:12:08.805242,192.168.1.8,10.0.0.6,UDP,6528,54757,1016890,45,0.8675458299573214
2025-02-15 21:12:09.805242,192.168.1.244,10.0.0.6,ICMP,32290,80,44660,130,1.7794655274700968
2025-02-15 21:12:10.805242,192.168.1.131,10.0.0.6,ICMP,31524,80,35710,470,0.3531202266515445
2025-02-15 21:12:11.805242,192.168.1.170,10.0.0.6,TCP,443,54757,136060,275,1.4017787428769717
2025-02-15 21:12:12.805242,192.168.1.242,10.0.0.6,ICMP,443,59085,56400,360,1.8558855148021494
2025-02-15 21:12:13.805242,192.168.1.238,10.0.0.6,ICMP,48043,44418,32240,480,1.2442205459616964
2025-02-15 21:12:14.805242,192.168.1.7,10.0.0.6,ICMP,47503,54757,119270,185,0.8023057830118151
2025-02-15 21:12:15.805242,192.168.1.25,10.0.0.6,UDP,32290,31363,113150,490,0.6277669233702442
2025-02-15 21:12:16.805242,192.168.1.127,10.0.0.6,UDP,53,53,61260,220,1.7786713638907379
2025-02-15 21:12:17.805242,192.168.1.216,10.0.0.6,TCP,31524,47503,157860,400,1.3523865325377233
2025-02-15 21:12:18.805242,192.168.1.105,10.0.0.6,UDP,47503,6528,337830,305,0.7144334751292457
2025-02-15 21:12:19.805242,192.168.1.14,10.0.0.6,ICMP,6528,47503,89220,160,1.2493197752964518
2025-02-15 21:12:20.805242,192.168.1.34,10.0.0.6,TCP,47503,6528,158340,55,1.2843113190670103
2025-02-15 21:12:21.805242,192.168.1.46,10.0.0.6,ICMP,7626,7626,82670,430,1.7519176069746447
2025-02-15 21:12:22.805242,192.168.1.177,10.0.0.6,TCP,59085,443,12230,350,0.13503925216761542
2025-02-15 21:12:23.805242,192.168.1.83,10.0.0.6,ICMP,31363,59085,12800,425,1.8636872790012629
2025-02-15 21:12:24.805242,192.168.1.220,10.0.0.6,UDP,22,443,214950,290,0.21498512713709306
2025-02-15 21:12:25.805242,192.168.1.93,10.0.0.6,TCP,54757,32290,440960,215,0.8631646979083092
2025-02-15 21:12:26.805242,192.168.1.71,10.0.0.6,UDP,44418,7626,25400,485,0.10435230688393658
2025-02-15 21:12:27.805242,192.168.1.198,10.0.0.6,ICMP,54757,48043,25050,475,1.5985200588786743
2025-02-15 21:12:28.805242,192.168.1.249,10.0.0.6,TCP,7626,59085,67880,265,0.5758582344531921
2025-02-15 21:12:29.805242,192.168.1.213,10.0.0.6,UDP,59085,53,16500,400,1.1393070116778883
2025-02-15 21:12:30.805242,192.168.1.58,10.0.0.6,TCP,59085,59085,102350,205,0.44437079934432133
2025-02-15 21:12:31.805242,192.168.1.231,10.0.0.6,UDP,47503,59085,202040,435,1.058841189959922
2025-02-15 21:12:32.805242,192.168.1.230,10.0.0.6,ICMP,22,54757,65930,140,0.5451704722925805
2025-02-15 21:12:33.805242,192.168.1.152,10.0.0.6,ICMP,443,32290,8050,375,0.7971646521862661
2025-02-15 21:12:34.805242,192.168.1.58,10.0.0.6,TCP,22,54757,44980,300,1.6430897670601623
2025-02-15 21:12:35.805242,192.168.1.222,10.0.0.6,ICMP,22,31363,73200,270,1.3561146992556903
2025-02-15 21:12:36.805242,192.168.1.101,10.0.0.6,ICMP,7626,443,156380,135,1.5018062915547286
2025-02-15 21:12:37.805242,192.168.1.56,10.0.0.6,UDP,7626,44418,421280,95,0.1660505367164185
2025-02-15 21:12:38.805242,192.168.1.127,10.0.0.6,ICMP,48043,31363,53540,185,1.4823762719881053
2025-02-15 21:12:39.805242,192.168.1.10,10.0.0.6,TCP,54757,3389,128980,335,0.3280163379146138
2025-02-15 21:12:40.805242,192.168.1.192,10.0.0.6,TCP,31363,54757,17310,385,1.2364674858594793
2025-02-15 21:12:41.805242,192.168.1.244,10.0.0.6,TCP,443,53,96970,315,1.354382177220948
2025-02-15 21:12:42.805242,192.168.1.203,10.0.0.6,TCP,53,44418,245340,290,0.22461053232961153
2025-02-15 21:12:43.805242,192.168.1.17,10.0.0.6,TCP,3389,6528,30220,115,1.318652880091638
2025-02-15 21:12:44.805242,192.168.1.194,10.0.0.6,TCP,48043,22,23180,15,1.8347803231529998
2025-02-15 21:12:45.805242,192.168.1.229,10.0.0.6,ICMP,31363,32290,48450,430,0.15915703855412405
2025-02-15 21:12:46.805242,192.168.1.206,10.0.0.6,TCP,3389,32290,102630,455,0.7880984816281462
2025-02-15 21:12:47.805242,192.168.1.4,10.0.0.6,ICMP,6528,80,97920,315,1.1815898720327591
2025-02-15 21:12:48.805242,192.168.1.178,10.0.0.6,TCP,443,31524,99510,330,1.9241491406078148
2025-02-15 21:12:49.805242,192.168.1.72,10.0.0.6,TCP,443,80,323590,30,1.8801765949057654
2025-02-15 21:12:50.805242,192.168.1.149,10.0.0.6,UDP,31363,31524,126250,75,1.0515360937238145
2025-02-15 21:12:51.805242,192.168.1.40,10.0.0.6,UDP,48043,80,183040,305,0.4047696327195336
2025-02-15 21:12:52.805242,192.168.1.210,10.0.0.6,ICMP,44418,54757,76400,140,1.217891774501275
2025-02-15 21:12:53.805242,192.168.1.159,10.0.0.6,UDP,80,7626,43160,110,1.059249295319045
2025-02-15 21:12:54.805242,192.168.1.95,10.0.0.6,TCP,443,7626,9740,445,1.7780444407696931
2025-02-15 21:12:55.805242,192.168.1.228,10.0.0.6,TCP,31524,48043,79820,145,1.581479954594708
2025-02-15 21:12:56.805242,192.168.1.163,10.0.0.6,TCP,7626,53,17380,145,1.0246605653719547
2025-02-15 21:12:57.805242,192.168.1.76,10.0.0.6,ICMP,443,31363,113580,250,0.10719052654027367
2025-02-15 21:12:58.805242,192.168.1.121,10.0.0.6,TCP,44418,31524,26230,365,1.5858286260173118
2025-02-15 21:12:59.805242,192.168.1.207,10.0.0.6,TCP,47503,80,28920,475,0.48486958708018246
2025-02-15 21:13:00.805242,192.168.1.145,10.0.0.6,TCP,22,31363,74450,395,0.9265778155568908
2025-02-15 21:13:01.805242,192.168.1.218,10.0.0.6,UDP,53,48043,119350,480,1.860623040103691
2025-02-15 21:13:02.805242,192.168.1.226,10.0.0.6,UDP,44418,44418,59210,135,0.17587250919252978
2025-02-15 21:13:03.805242,192.168.1.28,10.0.0.6,UDP,443,32290,72390,20,0.3282936261016681
2025-02-15 21:13:04.805242,192.168.1.7,10.0.0.6,TCP,7626,31363,36720,260,0.18516297685133468
2025-02-15 21:13:05.805242,192.168.1.31,10.0.0.6,UDP,3389,44418,34000,40,0.3519864199394227
2025-02-15 21:13:06.805242,192.168.1.14,10.0.0.6,UDP,32290,443,27070,400,0.7292706366142994
2025-02-15 21:13:07.805242,192.168.1.82,10.0.0.6,UDP,54757,53,35400,395,0.5728591522242973
2025-02-15 21:13:08.805242,192.168.1.51,10.0.0.6,UDP,53,22,68410,330,1.3192212305172106
2025-02-15 21:13:09.805242,192.168.1.164,10.0.0.6,UDP,54757,31363,44530,35,1.8154425405788992
2025-02-15 21:13:10.805242,192.168.1.133,10.0.0.6,TCP,54757,6528,141690,200,0.3545534245217592
2025-02-15 21:13:11.805242,192.168.1.226,10.0.0.6,ICMP,32290,7626,48460,75,0.68755318355478
2025-02-15 21:13:12.805242,192.168.1.218,10.0.0.6,ICMP,32290,59085,41520,370,1.97210457691651
2025-02-15 21:13:13.805242,192.168.1.165,10.0.0.6,TCP,44418,44418,45480,190,0.47237183331590105
2025-02-15 21:13:14.805242,192.168.1.2,10.0.0.6,TCP,31524,443,105320,215,0.8302458704341952
2025-02-15 21:13:15.805242,192.168.1.24,10.0.0.6,UDP,59085,59085,121320,260,1.734870695723866
2025-02-15 21:13:16.805242,192.168.1.74,10.0.0.6,ICMP,22,3389,78930,105,1.3381659725429822
2025-02-15 21:13:17.805242,192.168.1.161,10.0.0.6,ICMP,32290,32290,37520,270,1.5073346162594732
2025-02-15 21:13:18.805242,192.168.1.92,10.0.0.6,ICMP,22,53,219800,30,0.8740869732599684
2025-02-15 21:13:19.805242,192.168.1.48,10.0.0.6,TCP,31524,59085,58420,205,1.590449109251596
2025-02-15 21:13:20.805242,192.168.1.240,10.0.0.6,ICMP,3389,443,239610,430,0.7771482416251018
2025-02-15 21:13:21.805242,192.168.1.220,10.0.0.6,ICMP,3389,443,602120,265,1.4770878128164742
2025-02-15 21:13:22.805242,192.168.1.64,10.0.0.6,TCP,80,54757,34720,415,1.5540274986462554
2025-02-15 21:13:23.805242,192.168.1.52,10.0.0.6,TCP,47503,47503,85780,100,1.6241709523725039
2025-02-15 21:13:24.805242,192.168.1.2,10.0.0.6,UDP,443,22,49700,85,0.4605597053588396
2025-02-15 21:13:25.805242,192.168.1.87,10.0.0.6,TCP,3389,31363,153440,280,1.8234078095457318
2025-02-15 21:13:26.805242,192.168.1.134,10.0.0.6,TCP,59085,7626,57540,310,0.5479574797127579
2025-02-15 21:13:27.805242,192.168.1.237,10.0.0.6,TCP,59085,6528,112230,345,1.5221179433579228
2025-02-15 21:13:28.805242,192.168.1.111,10.0.0.6,UDP,443,443,28500,15,0.1007491310041661
2025-02-15 21:13:29.805242,192.168.1.147,10.0.0.6,UDP,7626,443,50240,245,0.910818805410979
2025-02-15 21:13:30.805242,192.168.1.9,10.0.0.6,ICMP,443,53,232110,65,1.8655552813095477
2025-02-15 21:13:31.805242,192.168.1.57,10.0.0.6,UDP,6528,22,155240,415,1.021594386059404
2025-02-15 21:13:32.805242,192.168.1.143,10.0.0.6,UDP,53,32290,19410,320,0.6658429935248439
2025-02-15 21:13:33.805242,192.168.1.185,10.0.0.6,UDP,32290,59085,303970,295,1.3856977467564153
2025-02-15 21:13:34.805242,192.168.1.106,10.0.0.6,TCP,3389,3389,65510,490,0.36679707949997176
2025-02-15 21:13:35.805242,192.168.1.211,10.0.0.6,UDP,59085,53,82470,465,1.3117253155894582
2025-02-15 21:13:36.805242,192.168.1.121,10.0.0.6,ICMP,22,54757,19380,205,0.28267611065777287
2025-02-15 21:13:37.805242,192.168.1.124,10.0.0.6,ICMP,6528,59085,38670,245,1.5395421996390748
2025-02-15 21:13:38.805242,192.168.1.237,10.0.0.6,ICMP,22,6528,352850,260,0.5734872969330463
2025-02-15 21:13:39.805242,192.168.1.226,10.0.0.6,UDP,3389,44418,322530,220,1.5017599409696807
2025-02-15 21:13:40.805242,192.168.1.50,10.0.0.6,ICMP,7626,44418,39210,265,0.5964679154820727
2025-02-15 21:13:41.805242,192.168.1.221,10.0.0.6,UDP,44418,54757,224100,270,1.740177069526889
2025-02-15 21:13:42.805242,192.168.1.40,10.0.0.6,TCP,6528,32290,130460,265,1.5926373339861846
2025-02-15 21:13:43.805242,192.168.1.28,10.0.0.6,UDP,32290,7626,17900,230,1.3016383410337153
2025-02-15 21:13:44.805242,192.168.1.188,10.0.0.6,UDP,48043,44418,149680,175,1.7671558577084163
2025-02-15 21:13:45.805242,192.168.1.10,10.0.0.6,TCP,443,53,46590,150,1.7906740592544537
2025-02-15 21:13:46.805242,192.168.1.31,10.0.0.6,ICMP,31363,6528,183690,170,0.21465223925698806
2025-02-15 21:13:47.805242,192.168.1.44,10.0.0.6,TCP,31363,59085,156850,235,1.356310079276196
2025-02-15 21:13:48.805242,192.168.1.199,10.0.0.6,UDP,53,443,47600,70,0.7471896637907366
2025-02-15 21:13:49.805242,192.168.1.42,10.0.0.6,ICMP,32290,31363,347240,360,1.6732820942228197
2025-02-15 21:13:50.805242,192.168.1.196,10.0.0.6,ICMP,7626,443,27130,465,1.6389597920606345
2025-02-15 21:13:51.805242,192.168.1.173,10.0.0.6,ICMP,7626,443,8090,260,1.8644195383327842
2025-02-15 21:13:52.805242,192.168.1.222,10.0.0.6,TCP,31363,80,39360,240,0.8477262779067694
2025-02-15 21:13:53.805242,192.168.1.230,10.0.0.6,ICMP,53,7626,128350,20,1.4610799646061676
2025-02-15 21:13:54.805242,192.168.1.144,10.0.0.6,TCP,47503,47503,55050,465,1.0983914577288472
2025-02-15 21:13:55.805242,192.168.1.247,10.0.0.6,ICMP,53,32290,274450,95,1.6328643282290203
2025-02-15 21:13:56.805242,192.168.1.229,10.0.0.6,ICMP,6528,44418,26560,385,0.8382802674983423
2025-02-15 21:13:57.805242,192.168.1.115,10.0.0.6,UDP,54757,48043,200920,400,1.3105914422031202
2025-02-15 21:13:58.805242,192.168.1.154,10.0.0.6,ICMP,59085,53,88360,80,0.4930934755404097
2025-02-15 21:13:59.805242,192.168.1.170,10.0.0.6,UDP,6528,32290,127040,75,0.48381927986651585
