timestamp,source_ip,dest_ip,protocol,source_port,dest_port,bytes,packets,duration
2025-02-15 21:11:53.541103,192.168.1.117,10.0.0.117,UDP,23222,13894,6110,99,1.0148521456043211
2025-02-15 21:11:54.541103,192.168.1.47,10.0.0.90,TCP,21411,3389,9983,51,0.9122289307061073
2025-02-15 21:11:55.541103,192.168.1.238,10.0.0.233,ICMP,53,13144,4378,12,1.9380124334703983
2025-02-15 21:11:56.541103,192.168.1.85,10.0.0.228,TCP,20800,53,22349,21,0.9539417627552099
2025-02-15 21:11:57.541103,192.168.1.119,10.0.0.6,ICMP,53,443,35307,72,1.9635112834964168
2025-02-15 21:11:58.541103,192.168.1.98,10.0.0.149,UDP,32608,32608,11005,42,0.6629613552965538
2025-02-15 21:11:59.541103,192.168.1.110,10.0.0.16,UDP,22,32608,12176,64,1.34409754233732
2025-02-15 21:12:00.541103,192.168.1.166,10.0.0.243,UDP,23222,53,12451,12,0.5129596576135836
2025-02-15 21:12:01.541103,192.168.1.234,10.0.0.104,ICMP,21411,32608,734,35,1.7947388717494486
2025-02-15 21:12:02.541103,192.168.1.68,10.0.0.95,ICMP,24182,443,16674,89,1.4196020895080452
2025-02-15 21:12:03.541103,192.168.1.117,10.0.0.225,UDP,21411,13144,8556,2,0.47958247639904494
2025-02-15 21:12:04.541103,192.168.1.240,10.0.0.30,TCP,21411,443,13444,74,1.4875704054501062
2025-02-15 21:12:05.541103,192.168.1.187,10.0.0.21,TCP,10819,32608,6173,56,1.9363884815856407
2025-02-15 21:12:06.541103,192.168.1.209,10.0.0.145,UDP,3389,22,30960,45,0.47499875730330576
2025-02-15 21:12:07.541103,192.168.1.139,10.0.0.61,UDP,43449,13894,2399,94,1.2376552798690235
2025-02-15 21:12:08.541103,192.168.1.132,10.0.0.190,TCP,23222,23222,4443,41,1.8768153191852424
2025-02-15 21:12:09.541103,192.168.1.182,10.0.0.143,TCP,23222,22,9592,2,0.4470777627717626
2025-02-15 21:12:10.541103,192.168.1.218,10.0.0.173,TCP,23222,20800,3320,27,1.8248505061530236
2025-02-15 21:12:11.541103,192.168.1.54,10.0.0.38,UDP,22,20800,5274,75,1.3839387739330171
2025-02-15 21:12:12.541103,192.168.1.93,10.0.0.11,UDP,22,13144,6408,1,0.13184329692723631
2025-02-15 21:12:13.541103,192.168.1.154,10.0.0.59,ICMP,13144,13144,5923,88,0.28923479527548845
2025-02-15 21:12:14.541103,192.168.1.110,10.0.0.187,TCP,21411,23222,16747,75,0.7849990817972518
2025-02-15 21:12:15.541103,192.168.1.195,10.0.0.90,ICMP,13144,443,2065,26,1.316308519875322
2025-02-15 21:12:16.541103,192.168.1.222,10.0.0.58,TCP,32608,20800,9204,58,1.0574361297362926
2025-02-15 21:12:17.541103,192.168.1.95,10.0.0.16,ICMP,43449,32608,3617,14,0.23075402436041326
2025-02-15 21:12:18.541103,192.168.1.120,10.0.0.178,ICMP,443,21411,26663,33,1.4281872396093325
2025-02-15 21:12:19.541103,192.168.1.41,10.0.0.240,TCP,10819,13144,3553,19,1.123160874154329
2025-02-15 21:12:20.541103,192.168.1.174,10.0.0.245,TCP,21864,3389,6552,12,0.9009903997956471
2025-02-15 21:12:21.541103,192.168.1.20,10.0.0.138,UDP,10819,23222,9036,79,0.9756867067703053
2025-02-15 21:12:22.541103,192.168.1.107,10.0.0.153,ICMP,80,20800,13087,9,0.20022617446544086
2025-02-15 21:12:23.541103,192.168.1.80,10.0.0.27,TCP,10819,13894,6119,22,1.089047196532912
2025-02-15 21:12:24.541103,192.168.1.39,10.0.0.72,TCP,24182,23222,7952,62,1.6808594111850286
2025-02-15 21:12:25.541103,192.168.1.123,10.0.0.121,TCP,13144,21411,6921,50,0.2367614341840274
2025-02-15 21:12:26.541103,192.168.1.19,10.0.0.131,UDP,22,3389,7766,77,1.1789681369693754
2025-02-15 21:12:27.541103,192.168.1.4,10.0.0.4,TCP,21864,443,12540,86,1.5614448986996643
2025-02-15 21:12:28.541103,192.168.1.37,10.0.0.61,ICMP,13144,443,23548,71,1.210875233956172
2025-02-15 21:12:29.541103,192.168.1.9,10.0.0.163,ICMP,22,3389,3357,91,0.6310569409313603
2025-02-15 21:12:30.541103,192.168.1.3,10.0.0.165,UDP,443,10819,4308,4,0.6201922671683922
2025-02-15 21:12:31.541103,192.168.1.69,10.0.0.68,UDP,22,10819,24326,98,0.9504277604054593
2025-02-15 21:12:32.541103,192.168.1.147,10.0.0.132,TCP,22,22,11205,93,0.9767088823572361
2025-02-15 21:12:33.541103,192.168.1.150,10.0.0.85,UDP,13894,13894,1194,68,1.5207973274533588
