timestamp,level,component,message,source_ip
2025-02-15 20:30:53.939781,CRITICAL,web_server,Sample log message for CRITICAL,192.168.1.85
2025-02-15 20:23:53.939781,WARNING,database,Sample log message for WARNING,192.168.1.82
2025-02-15 20:40:53.939781,ERROR,authentication,Sample log message for ERROR,
2025-02-15 21:08:53.939781,ERROR,firewall,Sample log message for ERROR,
2025-02-15 20:43:53.939781,ERROR,database,Sample log message for ERROR,192.168.1.34
2025-02-15 20:32:53.939781,INFO,database,Sample log message for INFO,
2025-02-15 20:15:53.939781,ERROR,firewall,Sample log message for ERROR,192.168.1.118
2025-02-15 20:12:53.939781,WARNING,web_server,Sample log message for WARNING,192.168.1.102
2025-02-15 21:01:53.939781,WARNING,ids,Sample log message for WARNING,
2025-02-15 20:54:53.939781,CRITICAL,web_server,Sample log message for CRITICAL,192.168.1.90
2025-02-15 20:37:53.939781,ERROR,web_server,Sample log message for ERROR,
2025-02-15 20:26:53.939781,INFO,ids,Sample log message for INFO,192.168.1.87
2025-02-15 20:28:53.939781,CRITICAL,ids,Sample log message for CRITICAL,192.168.1.243
2025-02-15 21:06:53.939781,WARNING,web_server,Sample log message for WARNING,
2025-02-15 20:42:53.939781,CRITICAL,web_server,Sample log message for CRITICAL,
2025-02-15 20:46:53.939781,CRITICAL,authentication,Sample log message for CRITICAL,
2025-02-15 20:34:53.939781,WARNING,firewall,Sample log message for WARNING,
2025-02-15 20:43:53.939781,INFO,authentication,Sample log message for INFO,
2025-02-15 20:38:53.939781,WARNING,database,Sample log message for WARNING,192.168.1.100
2025-02-15 20:29:53.939781,CRITICAL,authentication,Sample log message for CRITICAL,
2025-02-15 20:31:53.939781,ERROR,ids,Sample log message for ERROR,192.168.1.122
2025-02-15 20:57:53.939781,CRITICAL,authentication,Sample log message for CRITICAL,192.168.1.43
2025-02-15 20:33:53.939781,WARNING,web_server,Sample log message for WARNING,192.168.1.16
2025-02-15 20:59:53.939781,INFO,database,Sample log message for INFO,
2025-02-15 20:41:53.939781,WARNING,database,Sample log message for WARNING,
2025-02-15 20:48:53.939781,INFO,web_server,Sample log message for INFO,
2025-02-15 20:54:53.939781,INFO,firewall,Sample log message for INFO,192.168.1.157
2025-02-15 20:42:53.939781,CRITICAL,web_server,Sample log message for CRITICAL,
2025-02-15 20:17:53.939781,WARNING,authentication,Sample log message for WARNING,192.168.1.9
2025-02-15 20:48:53.939781,INFO,database,Sample log message for INFO,192.168.1.27
2025-02-15 20:28:53.939781,INFO,web_server,Sample log message for INFO,
2025-02-15 21:05:53.939781,CRITICAL,database,Sample log message for CRITICAL,192.168.1.163
2025-02-15 20:26:53.939781,INFO,firewall,Sample log message for INFO,192.168.1.229
2025-02-15 20:27:53.939781,ERROR,authentication,Sample log message for ERROR,192.168.1.83
2025-02-15 20:42:53.939781,ERROR,authentication,Sample log message for ERROR,192.168.1.163
2025-02-15 20:18:53.939781,CRITICAL,database,Sample log message for CRITICAL,
2025-02-15 20:36:53.939781,CRITICAL,ids,Sample log message for CRITICAL,192.168.1.41
2025-02-15 20:40:53.939781,INFO,web_server,Sample log message for INFO,192.168.1.142
2025-02-15 21:11:53.939781,WARNING,ids,Sample log message for WARNING,192.168.1.25
2025-02-15 20:12:53.939781,INFO,firewall,Sample log message for INFO,192.168.1.185
